bins,Truth,Outputs
4.5,0.0015842916538468636,0.002102653271509531
13.5,0.004657826044604762,0.005574124162802679
22.5,0.007232299982105915,0.00749570668040529
31.5,0.008848882520826011,0.008211295723853684
40.5,0.009290227040322625,0.008141207281470032
49.5,0.008890935766242314,0.007872338141851279
58.5,0.008134513742185285,0.007378821054439292
67.5,0.007147442540462302,0.0067917095998626135
76.5,0.006084418028140487,0.006179589558646746
85.5,0.005206020136638718,0.005635947964966512
94.5,0.004728844535588417,0.005262858492186159
103.5,0.005567442034106898,0.004788232010990898
112.5,0.004818207682098062,0.004303516228748068
121.5,0.003899043889427428,0.0038234157650695517
130.5,0.003103143308448969,0.0033110080714408383
139.5,0.002441555643953194,0.002801820367508157
148.5,0.0019713531575765142,0.0023421131719045165
157.5,0.0015619776868912739,0.0019619397217928904
166.5,0.001256126149437495,0.0016461660656019233
175.5,0.0010434997912356747,0.0014089601579941613
184.5,0.0008869801864846876,0.0012796239052035034
193.5,0.0008305515969719946,0.0011328997080542677
202.5,0.0012638502149221222,0.001063455263609823
211.5,0.001225659002248132,0.0009761935428473296
220.5,0.001034810217565469,0.0009092177571698437
229.5,0.0008519000557420059,0.0008262493560020609
238.5,0.0007130814343932896,0.000737699639361154
247.5,0.0005822014359037735,0.0006399192855916194
256.5,0.0004959493713254367,0.0005572728833934398
265.5,0.000432547667139122,0.0005198136699295895
274.5,0.0003788010448085912,0.0004748411471749957
283.5,0.00034082438950917425,0.00045745320281641766
292.5,0.000319690488113736,0.00042954662545079857
301.5,0.0004548616340947116,0.0003964880645715267
310.5,0.0004869379615933717,0.00038296410784818824
319.5,0.0004469230112355115,0.0003670788253477589
328.5,0.00040036406095317545,0.000342284904688305
337.5,0.00033546045514484986,0.00030750901597114886
346.5,0.00029351448841583277,0.0002846470891293148
355.5,0.0002478137676317887,0.0002581358406319767
364.5,0.0002179902925661448,0.00024246522411128284
373.5,0.00019868012885457687,0.00022153529108706854
382.5,0.00017078767016008985,0.0001965267044478791
391.5,0.0001495464900773651,0.00020071269105272196
400.5,0.00017186045703295472,0.000182358749785334
409.5,0.00016756930954149517,0.00016121415078138417
418.5,0.0001609180309297329,0.00014683153013910356
427.5,0.00014150058853087843,0.00014189421260518633
436.5,0.0001288417034310728,0.00012676026103383136
445.5,0.00011264262165081303,0.000114094968229435
