bins,allhad sample weights
0.5,0.35983380675060295
1.5,0.4294451533025688
2.5,0.49457569489760833
3.5,0.5386721925475603
4.5,0.5760235893609674
5.5,0.6111921643834971
6.5,0.6433120360171745
7.5,0.6741886125117256
8.5,0.7054963697737426
9.5,0.7331497374855716
10.5,0.7607315138351992
11.5,0.787261909801384
12.5,0.80970371657949
13.5,0.8304249602725058
14.5,0.85088786025224
15.5,0.8661167153899655
16.5,0.8783716352738149
17.5,0.8885265026206804
18.5,0.8969160833905971
19.5,0.9035353971362087
20.5,0.902935132113886
21.5,0.9074349390887202
22.5,0.9015173460927589
23.5,0.8948353323818783
24.5,0.8920390779067416
25.5,0.8819098264283926
26.5,0.8738537619943169
27.5,0.8614987540380116
28.5,0.8493607459203711
29.5,0.8399050396210257
30.5,0.8247885148653866
31.5,0.8199632795188351
32.5,0.8112893312993185
33.5,0.8183514056105982
34.5,0.814059209750845
35.5,0.8152329742942699
36.5,0.8383245507163727
37.5,0.8670447460553451
38.5,0.8928697844273122
39.5,0.9474276572193956
40.5,1.0
41.5,1.0
42.5,1.0
43.5,1.0
44.5,1.0
45.5,1.0
46.5,1.0
47.5,1.0
48.5,1.0
49.5,1.0
50.5,1.0
51.5,1.0
52.5,1.0
53.5,1.0
54.5,1.0
55.5,1.0
56.5,1.0
57.5,1.0
58.5,1.0
59.5,1.0
60.5,1.0
61.5,1.0
62.5,1.0
63.5,1.0
64.5,1.0
65.5,1.0
66.5,1.0
67.5,1.0
68.5,1.0
69.5,1.0
70.5,1.0
71.5,1.0
72.5,1.0
73.5,1.0
74.5,1.0
75.5,1.0
76.5,1.0
77.5,1.0
78.5,1.0
79.5,1.0
80.5,1.0
81.5,1.0
82.5,1.0
83.5,1.0
84.5,1.0
85.5,1.0
86.5,1.0
87.5,1.0
88.5,1.0
89.5,1.0
90.5,1.0
91.5,1.0
92.5,1.0
93.5,1.0
94.5,1.0
95.5,1.0
96.5,1.0
97.5,1.0
98.5,1.0
99.5,1.0
100.5,1.0
101.5,1.0
102.5,1.0
103.5,1.0
104.5,1.0
105.5,1.0
106.5,1.0
107.5,1.0
108.5,1.0
109.5,1.0
110.5,1.0
111.5,1.0
112.5,1.0
113.5,1.0
114.5,1.0
115.5,1.0
116.5,1.0
117.5,1.0
118.5,1.0
119.5,1.0
120.5,1.0
121.5,1.0
122.5,1.0
123.5,1.0
124.5,1.0
125.5,1.0
126.5,1.0
127.5,1.0
128.5,1.0
129.5,1.0
130.5,1.0
131.5,1.0
132.5,1.0
133.5,1.0
134.5,1.0
135.5,1.0
136.5,1.0
137.5,1.0
138.5,1.0
139.5,1.0
140.5,1.0
141.5,1.0
142.5,1.0
143.5,1.0
144.5,1.0
145.5,1.0
146.5,1.0
147.5,1.0
148.5,1.0
149.5,1.0
150.5,1.0
151.5,1.0
152.5,1.0
153.5,1.0
154.5,1.0
155.5,1.0
156.5,1.0
157.5,1.0
158.5,1.0
159.5,1.0
160.5,1.0
161.5,1.0
162.5,1.0
163.5,1.0
164.5,1.0
165.5,1.0
166.5,1.0
167.5,1.0
168.5,1.0
169.5,1.0
170.5,1.0
171.5,1.0
172.5,1.0
173.5,1.0
174.5,1.0
175.5,1.0
176.5,1.0
177.5,1.0
178.5,1.0
179.5,1.0
180.5,1.0
181.5,1.0
182.5,1.0
183.5,1.0
184.5,1.0
185.5,1.0
186.5,1.0
187.5,1.0
188.5,1.0
189.5,1.0
190.5,1.0
191.5,1.0
192.5,1.0
193.5,1.0
194.5,1.0
195.5,1.0
196.5,1.0
197.5,1.0
198.5,1.0
199.5,1.0
200.5,1.0
201.5,1.0
202.5,1.0
203.5,1.0
204.5,1.0
205.5,1.0
206.5,1.0
207.5,1.0
208.5,1.0
209.5,1.0
210.5,1.0
211.5,1.0
212.5,1.0
213.5,1.0
214.5,1.0
215.5,1.0
216.5,1.0
217.5,1.0
218.5,1.0
219.5,1.0
220.5,1.0
221.5,1.0
222.5,1.0
223.5,1.0
224.5,1.0
225.5,1.0
226.5,1.0
227.5,1.0
228.5,1.0
229.5,1.0
230.5,1.0
231.5,1.0
232.5,1.0
233.5,1.0
234.5,1.0
235.5,1.0
236.5,1.0
237.5,1.0
238.5,1.0
239.5,1.0
240.5,1.0
241.5,1.0
242.5,1.0
243.5,1.0
244.5,1.0
245.5,1.0
246.5,1.0
247.5,1.0
248.5,1.0
249.5,1.0
250.5,1.0
251.5,1.0
252.5,1.0
253.5,1.0
254.5,1.0
255.5,1.0
256.5,1.0
257.5,1.0
258.5,1.0
259.5,1.0
260.5,1.0
261.5,1.0
262.5,1.0
263.5,1.0
264.5,1.0
265.5,1.0
266.5,1.0
267.5,1.0
268.5,1.0
269.5,1.0
270.5,1.0
271.5,1.0
272.5,1.0
273.5,1.0
274.5,1.0
275.5,1.0
276.5,1.0
277.5,1.0
278.5,1.0
279.5,1.0
280.5,1.0
281.5,1.0
282.5,1.0
283.5,1.0
284.5,1.0
285.5,1.0
286.5,1.0
287.5,1.0
288.5,1.0
289.5,1.0
290.5,1.0
291.5,1.0
292.5,1.0
293.5,1.0
294.5,1.0
295.5,1.0
296.5,1.0
297.5,1.0
298.5,1.0
299.5,1.0
300.5,1.0
301.5,1.0
302.5,1.0
303.5,1.0
304.5,1.0
305.5,1.0
306.5,1.0
307.5,1.0
308.5,1.0
309.5,1.0
310.5,1.0
311.5,1.0
312.5,1.0
313.5,1.0
314.5,1.0
315.5,1.0
316.5,1.0
317.5,1.0
318.5,1.0
319.5,1.0
320.5,1.0
321.5,1.0
322.5,1.0
323.5,1.0
324.5,1.0
325.5,1.0
326.5,1.0
327.5,1.0
328.5,1.0
329.5,1.0
330.5,1.0
331.5,1.0
332.5,1.0
333.5,1.0
334.5,1.0
335.5,1.0
336.5,1.0
337.5,1.0
338.5,1.0
339.5,1.0
340.5,1.0
341.5,1.0
342.5,1.0
343.5,1.0
344.5,1.0
345.5,1.0
346.5,1.0
347.5,1.0
348.5,1.0
349.5,1.0
350.5,1.0
351.5,1.0
352.5,1.0
353.5,1.0
354.5,1.0
355.5,1.0
356.5,1.0
357.5,1.0
358.5,1.0
359.5,1.0
360.5,1.0
361.5,1.0
362.5,1.0
363.5,1.0
364.5,1.0
365.5,1.0
366.5,1.0
367.5,1.0
368.5,1.0
369.5,1.0
370.5,1.0
371.5,1.0
372.5,1.0
373.5,1.0
374.5,1.0
375.5,1.0
376.5,1.0
377.5,1.0
378.5,1.0
379.5,1.0
380.5,1.0
381.5,1.0
382.5,1.0
383.5,1.0
384.5,1.0
385.5,1.0
386.5,1.0
387.5,1.0
388.5,1.0
389.5,1.0
390.5,1.0
391.5,1.0
392.5,1.0
393.5,1.0
394.5,1.0
395.5,1.0
396.5,1.0
397.5,1.0
398.5,1.0
399.5,1.0
400.5,1.0
401.5,1.0
402.5,1.0
403.5,1.0
404.5,1.0
405.5,1.0
406.5,1.0
407.5,1.0
408.5,1.0
409.5,1.0
410.5,1.0
411.5,1.0
412.5,1.0
413.5,1.0
414.5,1.0
415.5,1.0
416.5,1.0
417.5,1.0
418.5,1.0
419.5,1.0
420.5,1.0
421.5,1.0
422.5,1.0
423.5,1.0
424.5,1.0
425.5,1.0
426.5,1.0
427.5,1.0
428.5,1.0
429.5,1.0
430.5,1.0
431.5,1.0
432.5,1.0
433.5,1.0
434.5,1.0
435.5,1.0
436.5,1.0
437.5,1.0
438.5,1.0
439.5,1.0
440.5,1.0
441.5,1.0
442.5,1.0
443.5,1.0
444.5,1.0
445.5,1.0
446.5,1.0
447.5,1.0
448.5,1.0
449.5,1.0
450.5,1.0
451.5,1.0
452.5,1.0
453.5,1.0
454.5,1.0
455.5,1.0
456.5,1.0
457.5,1.0
458.5,1.0
459.5,1.0
460.5,1.0
461.5,1.0
462.5,1.0
463.5,1.0
464.5,1.0
465.5,1.0
466.5,1.0
467.5,1.0
468.5,1.0
469.5,1.0
470.5,1.0
471.5,1.0
472.5,1.0
473.5,1.0
474.5,1.0
475.5,1.0
476.5,1.0
477.5,1.0
478.5,1.0
479.5,1.0
480.5,1.0
481.5,1.0
482.5,1.0
483.5,1.0
484.5,1.0
485.5,1.0
486.5,1.0
487.5,1.0
488.5,1.0
489.5,1.0
490.5,1.0
491.5,1.0
492.5,1.0
493.5,1.0
494.5,1.0
495.5,1.0
496.5,1.0
497.5,1.0
498.5,1.0
499.5,1.0
